land_area_hectares,affected_families,compensation_assessed_crores,compensation_ratio,litigation_cases_count,statutory_months,rr_settled_ratio,is_linear_project,high_litigation_state,historical_dispute_index,risk_score,is_delayed
722.9,2159,1604.4,0.6646,57,31.9,0.6809,1,1,0.755,74.6,1
1399.2,4180,3105.6,0.8615,25,30.8,0.8233,1,1,0.951,57.9,1
932.7,2786,2070.2,0.7815,38,25.1,0.7654,1,1,0.348,64.5,0
643.6,1922,1428.4,0.7262,47,29.9,0.7254,1,1,0.722,70.3,1
1012.4,3024,2246.9,0.7631,41,27.4,0.7521,1,1,0.851,66.8,1
880.7,2631,1954.8,0.8862,21,27.4,0.8411,1,1,0.94,51.6,1
882.8,2637,1959.5,0.7938,36,26.6,0.7743,1,1,0.835,64.9,1
603.5,1803,1339.4,0.6585,58,27.8,0.6764,1,1,0.941,72.3,1
639.1,1909,1418.6,0.8492,27,26.7,0.8144,1,1,0.817,57.4,1
1449.5,4330,3217.2,0.6708,56,25.4,0.6853,1,1,0.11,70.2,0
1421.2,4246,3154.4,0.7938,36,28.2,0.7743,1,1,0.905,65.9,1
535.5,1600,1188.6,0.7938,36,29.8,0.7743,1,1,0.989,66.9,1
840.2,2510,1864.8,0.8431,28,28.8,0.8099,1,1,0.848,59.8,1
987.0,2948,2190.6,0.8677,24,28.2,0.8277,1,1,0.989,55.2,1
332.7,993,738.4,0.72,48,32.5,0.7209,1,1,0.989,72.2,1
1024.9,3062,2274.9,0.64,61,29.2,0.6631,1,1,0.723,74.1,1
260.8,779,578.8,0.7692,40,32.1,0.7565,1,1,0.837,69.5,1
1164.7,3479,2585.1,0.9169,16,30.2,0.8633,1,1,0.846,48.0,1
1351.0,4036,2998.5,0.7015,51,24.9,0.7076,1,1,0.215,68.3,0
385.1,1150,854.7,0.9046,18,28.7,0.8544,1,1,0.719,49.2,1
1131.9,3381,2512.3,0.8369,29,26.8,0.8054,1,1,0.75,59.6,1
778.1,2324,1727.1,0.7508,43,32.8,0.7432,1,1,0.989,70.9,1
534.9,1598,1187.2,0.6831,54,29.8,0.6942,1,1,0.788,72.4,1
1231.3,3678,2733.0,0.8677,24,25.8,0.8277,1,1,0.128,53.7,0
465.0,1820,2240.0,0.8973,46,28.0,0.84,1,1,0.928,65.0,1
239.2,936,1152.3,0.8435,24,40.3,0.7812,1,1,0.861,61.0,1
480.0,1878,2312.1,0.4487,90,43.2,0.504,1,1,0.706,88.9,1
468.8,1835,2258.5,0.6999,48,47.2,0.6804,1,1,0.943,78.7,1
355.1,1389,1710.4,0.8196,28,47.1,0.7644,1,1,0.897,68.8,1
628.7,2460,3028.4,0.5922,66,44.4,0.6048,1,1,0.796,82.5,1
321.6,1258,1549.3,0.5264,77,34.9,0.5586,1,1,0.709,80.6,1
820.6,3211,3952.8,0.7418,41,39.5,0.7098,1,1,0.923,72.5,1
391.9,1533,1887.8,0.7358,42,44.1,0.7056,1,1,0.733,75.2,1
629.4,2463,3032.0,0.7119,46,38.0,0.6888,1,1,0.82,73.2,1
746.2,2920,3594.7,0.8016,31,33.9,0.7518,1,1,0.991,64.8,1
544.6,2131,2623.4,0.6162,62,32.3,0.6216,1,1,0.935,74.8,1
244.4,956,1177.2,0.4666,87,44.0,0.5166,1,1,0.84,88.4,1
298.7,1168,1438.8,0.67,53,42.9,0.6594,1,1,0.886,77.9,1
210.2,822,1012.6,0.8375,25,41.2,0.777,1,1,0.792,62.4,1
388.8,1521,1872.7,0.5324,76,34.4,0.5628,1,1,0.786,80.1,1
714.2,2795,3440.3,0.7298,43,38.0,0.7014,1,1,0.912,72.3,1
143.8,562,692.8,0.664,54,37.5,0.6552,1,1,0.993,75.3,1
541.9,2121,2610.7,0.7597,38,46.3,0.7224,1,1,0.809,75.3,1
383.4,1500,1847.0,0.5504,73,46.5,0.5754,1,1,0.775,85.6,1
607.1,2376,2924.7,0.4606,88,31.5,0.5124,1,1,0.873,82.0,1
342.9,1341,1651.7,0.6341,59,35.6,0.6342,1,1,0.856,75.7,1
685.2,2681,3300.7,0.8435,24,32.0,0.7812,1,1,0.791,56.5,1
316.4,1238,1524.3,0.4905,83,43.3,0.5334,1,1,0.759,86.9,1
394.5,1544,1900.6,0.4726,86,44.8,0.5208,1,1,0.858,88.5,1
610.3,2388,2940.0,0.5264,77,45.7,0.5586,1,1,0.747,86.4,1
580.3,2271,2795.2,0.67,53,38.9,0.6594,1,1,0.887,75.7,1
556.1,2176,2678.6,0.5145,79,41.5,0.5502,1,1,0.811,84.7,1
541.6,2119,2609.2,0.6042,64,46.1,0.6132,1,1,0.841,82.8,1
296.8,1161,1430.0,0.4666,87,42.2,0.5166,1,1,0.957,87.4,1
721.2,2822,3474.3,0.5444,74,32.6,0.5712,1,1,0.809,78.5,1
288.3,1128,1388.6,0.5743,69,43.1,0.5922,1,1,0.868,82.7,1
750.7,2938,3616.1,0.6461,57,41.3,0.6426,1,1,0.938,78.2,1
550.2,2153,2650.3,0.5025,81,35.1,0.5418,1,1,0.743,81.9,1
407.4,1594,1962.5,0.7119,46,35.4,0.6888,1,1,0.907,71.8,1
452.9,1772,2181.7,0.7657,37,49.7,0.7266,1,1,0.704,76.8,1
574.1,2247,2765.8,0.7837,34,48.7,0.7392,1,1,0.709,75.4,1
349.9,1369,1685.5,0.8435,24,37.1,0.7812,1,1,0.951,59.2,1
735.1,2877,3541.2,0.7657,37,42.0,0.7266,1,1,0.895,72.7,1
296.3,1159,1427.1,0.6162,62,34.5,0.6216,1,1,0.756,76.0,1
709.2,2775,3416.6,0.7119,46,44.1,0.6888,1,1,0.797,76.5,1
2450.0,6200,2180.0,0.9128,58,20.0,0.87,1,1,0.847,56.7,1
1834.5,4642,1632.3,0.5477,75,24.5,0.5873,1,1,0.906,78.9,1
1899.0,4805,1689.7,0.3651,105,23.5,0.4567,1,1,0.836,86.6,1
2262.7,5725,2013.3,0.3225,112,24.1,0.4263,1,1,0.771,89.8,1
2326.7,5887,2070.2,0.6025,66,25.4,0.6264,1,1,0.738,76.9,1
1423.0,3601,1266.2,0.4321,94,21.9,0.5046,1,1,0.275,80.1,0
3919.5,9918,3487.6,0.6938,51,29.3,0.6916,1,1,0.85,75.3,1
2538.0,6422,2258.3,0.4686,88,27.1,0.5307,1,1,0.821,84.8,1
2422.1,6129,2155.2,0.3043,115,22.3,0.4133,1,1,0.862,87.2,1
2452.7,6206,2182.4,0.7485,42,22.1,0.7308,1,1,0.701,64.9,1
1677.5,4245,1492.6,0.499,83,27.7,0.5524,1,1,0.789,83.8,1
4221.1,10681,3755.9,0.6998,50,21.4,0.696,1,1,0.393,65.9,0
2738.6,6930,2436.8,0.5416,76,29.8,0.5829,1,1,0.923,83.2,1
1608.4,4070,1431.2,0.6146,64,21.7,0.6351,1,1,0.353,70.7,0
2220.1,5618,1975.5,0.6268,62,30.7,0.6438,1,1,0.999,79.7,1
4376.1,11074,3893.8,0.3895,101,29.7,0.4742,1,1,0.718,90.7,1
2084.0,5273,1854.3,0.3773,103,22.8,0.4655,1,1,0.835,84.6,1
2682.0,6787,2386.4,0.7485,42,27.9,0.7308,1,1,0.722,71.6,1
1680.2,4251,1495.0,0.3408,109,30.1,0.4394,1,1,0.861,93.4,1
2211.9,5597,1968.2,0.566,72,26.1,0.6003,1,1,0.817,79.2,1
4041.0,10226,3595.7,0.5903,68,26.7,0.6177,1,1,0.705,78.5,1
2622.3,6635,2333.3,0.499,83,24.4,0.5524,1,1,0.987,81.3,1
1291.6,3268,1149.2,0.5599,73,25.9,0.596,1,1,0.775,79.4,1
3743.6,9473,3331.0,0.8276,29,27.9,0.7873,1,1,0.969,64.4,1
2179.4,5515,1939.2,0.4625,89,24.1,0.5263,1,1,0.921,82.9,1
1782.7,4511,1586.3,0.3165,113,22.5,0.422,1,1,0.84,87.0,1
2979.9,7540,2651.5,0.3956,100,24.5,0.4785,1,1,0.879,86.4,1
1888.4,4778,1680.3,0.6268,62,24.4,0.6438,1,1,0.807,75.0,1
1700.9,4304,1513.4,0.426,95,22.1,0.5003,1,1,0.801,80.8,1
3920.6,9921,3488.6,0.7546,41,25.0,0.7352,1,1,0.883,69.1,1
2780.0,7035,2473.6,0.5234,79,28.8,0.5698,1,1,0.754,83.4,1
2969.8,7515,2642.5,0.7972,34,21.2,0.7656,1,1,0.191,60.7,0
1796.4,4546,1598.4,0.3591,106,24.8,0.4524,1,1,0.7,88.5,1
968.2,2450,861.5,0.6694,55,23.3,0.6743,1,1,0.791,71.2,1
3815.1,9654,3394.7,0.5842,69,29.8,0.6134,1,1,0.926,81.1,1
2105.0,5326,1873.0,0.639,60,24.4,0.6525,1,1,0.768,74.4,1
2749.3,6957,2446.3,0.7729,38,21.7,0.7482,1,1,0.395,62.9,0
2820.1,7136,2509.3,0.566,72,28.0,0.6003,1,1,0.83,80.7,1
889.5,2251,791.5,0.7729,38,24.6,0.7482,1,1,0.788,67.9,1
3056.3,7734,2719.5,0.7972,34,24.1,0.7656,1,1,0.972,66.3,1
2690.2,6807,2393.8,0.8276,29,28.3,0.7873,1,1,0.897,64.7,1
340.0,980,1120.0,0.9732,12,16.0,0.96,1,1,0.284,27.7,0
180.3,519,594.0,0.9538,18,17.1,0.9216,1,1,0.141,35.6,0
414.7,1195,1366.2,0.99,6,17.2,0.9792,1,1,0.343,24.4,0
483.1,1392,1591.4,0.99,7,16.1,0.9744,1,1,0.161,22.8,0
569.0,1640,1874.5,0.99,9,15.3,0.9648,1,1,0.348,22.8,0
315.3,908,1038.5,0.99,8,17.5,0.9696,1,1,0.37,26.7,0
124.8,359,411.2,0.9797,14,17.3,0.9408,1,1,0.37,31.8,0
229.1,660,754.7,0.9278,22,15.6,0.9024,1,1,0.235,36.6,0
416.7,1201,1372.8,0.99,11,17.8,0.9552,1,1,0.72,29.9,1
498.5,1436,1642.2,0.9667,16,17.1,0.9312,1,1,0.169,33.5,0
561.5,1618,1849.6,0.9473,19,17.1,0.9168,1,1,0.205,36.7,0
366.2,1055,1206.4,0.99,12,15.4,0.9504,1,1,0.333,25.5,0
273.9,789,902.2,0.9213,23,15.5,0.8976,1,1,0.29,37.4,0
566.6,1633,1866.5,0.9278,22,16.8,0.9024,1,1,0.341,39.2,0
559.3,1612,1842.4,0.9473,19,17.4,0.9168,1,1,0.255,37.4,0
529.1,1525,1743.0,0.9667,16,15.4,0.9312,1,1,0.12,29.7,0
611.8,1763,2015.3,0.9278,22,16.4,0.9024,1,1,0.159,38.3,0
149.7,431,493.1,0.99,11,16.7,0.9552,1,1,0.24,27.6,0
446.5,1286,1470.8,0.9473,19,15.9,0.9168,1,1,0.235,34.1,0
163.2,470,537.6,0.9213,23,16.5,0.8976,1,1,0.282,39.6,0
283.9,818,935.3,0.99,8,16.7,0.9696,1,1,0.264,25.0,0
516.8,1489,1702.4,0.99,10,16.5,0.96,1,1,0.353,26.3,0
526.9,1518,1735.7,0.9862,13,17.8,0.9456,1,1,0.901,31.7,1
433.6,1249,1428.5,0.9602,17,16.4,0.9264,1,1,0.356,33.0,0
599.0,1726,1973.2,0.9797,14,15.6,0.9408,1,1,0.392,28.0,0
374.4,1079,1233.4,0.99,12,17.7,0.9504,1,1,0.723,30.6,1
299.4,862,986.2,0.99,6,17.2,0.9792,1,1,0.22,24.4,0
288.2,830,949.4,0.9538,18,16.8,0.9216,1,1,0.238,34.9,0
114.5,329,377.1,0.9473,19,17.7,0.9168,1,1,0.813,38.0,1
441.7,1273,1455.1,0.9797,14,16.4,0.9408,1,1,0.37,29.8,0
477.1,1375,1571.5,0.9343,21,17.0,0.9072,1,1,0.158,38.6,0
203.3,585,669.7,0.9667,16,17.0,0.9312,1,1,0.34,33.2,0
429.5,1237,1414.9,0.99,11,16.5,0.9552,1,1,0.349,27.1,0
280.2,807,923.1,0.9862,13,15.5,0.9456,1,1,0.366,26.7,0
114.2,329,376.3,0.9602,17,16.5,0.9264,1,1,0.112,33.2,0
578.3,1666,1904.8,0.99,9,16.9,0.9648,1,1,0.157,26.2,0
274.3,790,903.7,0.9213,23,17.6,0.8976,1,1,0.768,42.1,1
582.0,1677,1917.2,0.9538,18,17.5,0.9216,1,1,0.156,36.5,0
206.2,594,679.1,0.9278,22,15.3,0.9024,1,1,0.392,35.9,0
319.9,922,1053.8,0.9213,23,16.8,0.8976,1,1,0.18,40.3,0
579.6,1670,1909.2,0.9473,19,15.8,0.9168,1,1,0.16,33.8,0
185.0,420,640.0,0.9531,6,14.0,0.97,1,1,0.333,20.5,0
221.5,502,766.1,0.9785,11,14.3,0.9651,1,1,0.225,24.4,0
142.0,322,491.3,0.99,4,14.3,0.99,1,1,0.277,18.2,0
311.0,705,1075.8,0.99,3,13.3,0.99,1,1,0.129,15.2,0
155.4,352,537.5,0.99,7,14.2,0.9846,1,1,0.253,20.4,0
129.2,293,446.9,0.99,9,14.0,0.9749,1,1,0.207,21.7,0
57.6,130,199.2,0.99,5,14.4,0.99,1,1,0.133,19.2,0
322.3,731,1115.0,0.99,5,13.3,0.99,1,1,0.157,16.7,0
84.8,192,293.5,0.9849,10,13.1,0.97,1,1,0.124,20.5,0
296.3,672,1025.1,0.99,8,13.9,0.9797,1,1,0.258,20.5,0
171.4,389,592.9,0.99,3,14.0,0.99,1,1,0.149,16.8,0
241.8,549,836.7,0.9849,10,13.7,0.97,1,1,0.31,21.9,0
167.7,380,580.2,0.99,3,14.4,0.99,1,1,0.185,17.8,0
211.6,480,731.9,0.9785,11,14.3,0.9651,1,1,0.176,24.4,0
201.5,457,697.2,0.99,5,14.4,0.99,1,1,0.295,19.2,0
281.6,639,974.2,0.9785,11,14.0,0.9651,1,1,0.172,23.8,0
250.9,569,868.1,0.99,4,13.9,0.99,1,1,0.322,17.3,0
215.6,489,745.9,0.99,6,13.2,0.9894,1,1,0.382,17.2,0
258.6,587,894.6,0.9785,11,14.2,0.9651,1,1,0.258,24.2,0
206.0,467,712.8,0.99,4,13.6,0.99,1,1,0.116,16.7,0
241.6,548,836.0,0.99,7,14.0,0.9846,1,1,0.352,20.0,0
59.1,134,204.5,0.99,3,13.1,0.99,1,1,0.231,14.7,0
155.2,352,536.8,0.9785,11,13.9,0.9651,1,1,0.383,23.4,0
205.2,465,709.9,0.99,5,13.3,0.99,1,1,0.257,16.7,0
130.5,296,451.4,0.9785,11,13.7,0.9651,1,1,0.199,23.0,0
169.3,384,585.5,0.99,8,14.0,0.9797,1,1,0.152,20.7,0
280.6,636,970.6,0.99,9,13.7,0.9749,1,1,0.213,20.9,0
114.6,260,396.5,0.99,6,13.5,0.9894,1,1,0.398,17.9,0
55.6,126,192.4,0.99,3,13.3,0.99,1,1,0.398,15.2,0
65.8,149,227.7,0.99,3,14.3,0.99,1,1,0.343,17.5,0
266.9,605,923.2,0.99,4,14.2,0.99,1,1,0.32,18.1,0
149.9,340,518.5,0.99,5,14.1,0.99,1,1,0.23,18.5,0
320.1,726,1107.5,0.9785,11,13.8,0.9651,1,1,0.326,23.3,0
200.3,454,692.8,0.99,7,13.1,0.9846,1,1,0.186,17.8,0
319.1,724,1103.9,0.99,9,13.8,0.9749,1,1,0.277,21.2,0
84.8,192,293.3,0.99,4,13.8,0.99,1,1,0.274,17.1,0
104.8,237,362.5,0.99,7,14.2,0.9846,1,1,0.183,20.4,0
293.7,666,1016.1,0.99,4,14.1,0.99,1,1,0.327,17.8,0
122.5,278,423.7,0.99,4,13.6,0.99,1,1,0.115,16.7,0
229.9,521,795.2,0.99,6,14.3,0.9894,1,1,0.177,19.7,0
319.0,724,1103.7,0.99,8,14.1,0.9797,1,1,0.224,21.0,0
1150.0,3100,2450.0,0.8571,38,22.0,0.86,1,1,0.89,60.3,1
1951.7,5261,4157.9,0.7486,34,29.3,0.7568,1,1,0.855,70.2,1
519.0,1399,1105.7,0.6629,49,28.8,0.6923,1,1,0.777,74.1,1
394.1,1062,839.5,0.6343,54,28.0,0.6708,1,1,0.872,75.0,1
872.6,2352,1859.1,0.8,25,30.3,0.7955,1,1,0.835,62.0,1
1694.2,4566,3609.4,0.5486,69,23.2,0.6063,1,1,0.25,75.0,0
1909.5,5147,4068.0,0.7886,27,31.5,0.7869,1,1,0.909,64.9,1
634.2,1709,1351.0,0.7029,42,31.4,0.7224,1,1,0.74,73.9,1
840.6,2265,1790.9,0.7486,34,31.1,0.7568,1,1,0.743,71.4,1
1182.4,3187,2519.0,0.7543,33,23.0,0.7611,1,1,0.263,64.0,0
1380.8,3722,2941.8,0.5143,75,26.8,0.5805,1,1,0.971,80.1,1
1593.4,4295,3394.6,0.6286,55,24.8,0.6665,1,1,0.874,73.1,1
1075.8,2900,2292.0,0.5771,64,26.6,0.6278,1,1,0.714,76.9,1
1507.5,4063,3211.6,0.8114,23,22.9,0.8041,1,1,0.309,53.5,0
973.5,2624,2073.9,0.6971,43,31.2,0.7181,1,1,0.822,74.0,1
809.7,2182,1725.0,0.7943,26,23.1,0.7912,1,1,0.262,57.0,0
925.4,2494,1971.6,0.6,60,27.0,0.645,1,1,0.846,76.0,1
800.2,2157,1704.7,0.52,74,25.9,0.5848,1,1,0.918,79.3,1
1080.3,2912,2301.5,0.5714,65,27.0,0.6235,1,1,0.756,77.4,1
904.1,2437,1926.1,0.5886,62,30.7,0.6364,1,1,0.824,79.1,1
816.7,2201,1739.9,0.5657,66,22.8,0.6192,1,1,0.328,73.4,0
1647.1,4439,3509.0,0.7371,36,31.3,0.7482,1,1,0.91,72.1,1
1577.4,4252,3360.5,0.7771,29,24.6,0.7783,1,1,0.91,62.2,1
1514.6,4082,3226.7,0.6514,51,28.0,0.6837,1,1,0.892,74.1,1
572.5,1543,1219.8,0.6743,47,30.7,0.7009,1,1,0.764,74.8,1
1054.7,2843,2246.9,0.5143,75,29.0,0.5805,1,1,0.748,81.7,1
1487.4,4009,3168.8,0.64,53,28.2,0.6751,1,1,0.938,74.8,1
1863.8,5024,3970.7,0.5714,65,27.6,0.6235,1,1,0.775,77.9,1
1588.5,4282,3384.3,0.7257,38,31.3,0.7396,1,1,0.717,72.7,1
1527.2,4116,3253.6,0.6229,56,27.6,0.6622,1,1,0.943,75.3,1
453.0,1221,965.2,0.5143,75,23.1,0.5805,1,1,0.304,76.5,0
651.0,1754,1387.0,0.8343,19,29.3,0.8213,1,1,0.817,55.1,1
1851.8,4991,3945.2,0.5657,66,25.7,0.6192,1,1,0.739,76.9,1
622.5,1678,1326.2,0.6914,44,23.3,0.7138,1,1,0.273,68.1,0
1597.4,4306,3403.3,0.6114,58,24.1,0.6536,1,1,0.24,73.5,0
1228.4,3311,2617.1,0.5371,71,26.2,0.5977,1,1,0.839,78.6,1
1367.9,3687,2914.1,0.6171,57,26.5,0.6579,1,1,0.818,74.8,1
1341.5,3616,2857.9,0.5429,70,30.9,0.602,1,1,0.73,81.6,1
1870.7,5042,3985.4,0.6743,47,24.6,0.7009,1,1,0.924,70.7,1
1263.7,3406,2692.3,0.7829,28,26.7,0.7826,1,1,0.845,62.6,1
1540.0,4151,3280.9,0.5714,65,27.4,0.6235,1,1,0.79,77.7,1
1240.5,3420,1450.0,0.9517,28,22.0,0.92,1,1,0.804,51.0,1
2062.3,5685,2410.6,0.7297,50,28.4,0.736,1,1,0.979,70.6,1
497.0,1370,581.0,0.6979,55,23.5,0.713,1,1,0.139,68.2,0
1882.0,5188,2199.8,0.8756,27,29.2,0.8418,1,1,0.769,59.2,1
2156.4,5945,2520.5,0.8946,24,27.0,0.8556,1,1,0.936,54.5,1
548.8,1513,641.5,0.8629,29,24.4,0.8326,1,1,0.72,58.0,1
1280.5,3530,1496.7,0.9263,19,26.9,0.8786,1,1,0.819,49.1,1
1090.6,3006,1274.8,0.7614,45,26.7,0.759,1,1,0.965,67.9,1
2131.6,5876,2491.6,0.8121,37,26.4,0.7958,1,1,0.743,65.2,1
1582.2,4362,1849.4,0.9073,22,26.9,0.8648,1,1,0.793,52.3,1
2212.6,6100,2586.3,0.92,20,24.6,0.874,1,1,0.76,48.6,1
1646.4,4539,1924.4,0.8566,30,24.2,0.828,1,1,0.986,59.0,1
665.0,1833,777.4,0.8692,28,28.9,0.8372,1,1,0.739,60.0,1
1129.4,3113,1320.1,0.92,20,26.3,0.874,1,1,0.838,49.7,1
1301.3,3587,1521.1,0.8312,34,23.4,0.8096,1,1,0.128,61.4,0
1899.3,5236,2220.1,0.7297,50,23.7,0.736,1,1,0.179,67.0,0
456.3,1258,533.4,0.8883,25,27.9,0.851,1,1,0.895,56.2,1
632.5,1743,739.4,0.8629,29,28.5,0.8326,1,1,0.889,60.8,1
1375.6,3792,1607.9,0.9137,21,29.4,0.8694,1,1,0.705,52.9,1
1285.6,3544,1502.8,0.8185,36,27.9,0.8004,1,1,0.965,65.8,1
1387.3,3824,1621.6,0.9327,18,27.4,0.8832,1,1,0.943,48.3,1
915.2,2523,1069.8,0.8058,38,25.5,0.7912,1,1,0.97,64.9,1
1292.1,3562,1510.3,0.7487,47,25.7,0.7498,1,1,0.861,67.8,1
1128.9,3112,1319.5,0.736,49,24.9,0.7406,1,1,0.967,67.9,1
783.3,2159,915.6,0.7868,41,25.3,0.7774,1,1,0.829,65.7,1
933.3,2573,1091.0,0.9581,14,28.3,0.9016,1,1,0.716,44.7,1
1114.2,3071,1302.4,0.8248,35,25.6,0.805,1,1,0.862,64.0,1
1392.5,3838,1627.6,0.7297,50,26.5,0.736,1,1,0.934,69.3,1
419.2,1155,490.0,0.7677,44,24.9,0.7636,1,1,0.979,66.3,1
838.7,2312,980.4,0.7297,50,26.7,0.736,1,1,0.941,69.4,1
2208.5,6088,2581.5,0.7106,53,23.8,0.7222,1,1,0.185,68.2,0
927.6,2557,1084.2,0.9327,18,27.1,0.8832,1,1,0.896,48.2,1
1971.6,5435,2304.5,0.9454,16,25.5,0.8924,1,1,0.817,45.0,1
1828.7,5041,2137.5,0.7804,42,28.1,0.7728,1,1,0.988,67.9,1
806.8,2224,943.1,0.7297,50,23.0,0.736,1,1,0.355,65.6,0
759.3,2093,887.5,0.7487,47,25.8,0.7498,1,1,0.994,67.9,1
1598.5,4407,1868.5,0.9327,18,25.8,0.8832,1,1,0.905,47.3,1
1036.5,2857,1211.5,0.7043,54,23.5,0.7176,1,1,0.329,67.9,0
1934.3,5332,2260.9,0.7994,39,24.9,0.7866,1,1,0.732,64.8,1
872.6,2405,1020.0,0.7297,50,24.9,0.736,1,1,0.892,68.2,1
552.8,1524,646.2,0.8629,29,28.7,0.8326,1,1,0.915,60.9,1
890.0,2150,920.0,0.9728,8,15.0,0.96,1,0,0.127,12.5,0
1009.9,2439,1044.0,0.99,7,14.7,0.9744,1,0,0.317,10.6,0
1140.0,2753,1178.4,0.99,9,14.6,0.9648,1,0,0.362,12.2,0
1009.4,2438,1043.4,0.99,9,14.6,0.9648,1,0,0.164,12.2,0
